,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ribeira Grande,38.52,-28.7,58.93,73,100,14.83,PT,1609310135
1,Faanui,-16.48,-151.75,81.23,77,100,19.13,PF,1609310137
2,Provideniya,64.38,-173.3,21.34,95,100,18.52,RU,1609310138
3,Koslan,63.46,48.9,0.37,90,28,5.97,RU,1609310139
4,Cape Town,-33.93,18.42,68.0,68,75,9.17,ZA,1609310062
5,Hobart,-42.88,147.33,64.4,63,40,20.8,AU,1609310094
6,Young,-32.68,-57.63,80.01,64,1,10.49,UY,1609310143
7,Rikitea,-23.12,-134.97,78.44,76,0,5.48,PF,1609310144
8,Central Point,42.38,-122.92,37.4,69,1,2.37,US,1609310145
9,Barrow,71.29,-156.79,-5.8,76,90,14.99,US,1609310146
10,Lebu,-37.62,-73.65,52.05,83,2,13.96,CL,1609310148
11,Ushuaia,-54.8,-68.3,42.8,87,20,18.34,AR,1609310149
12,Port Alfred,-33.59,26.89,75.0,72,51,5.01,ZA,1609310150
13,Baghmara,23.8,86.21,77.52,32,0,6.8,IN,1609310151
14,Khatanga,71.97,102.5,-29.78,83,19,5.28,RU,1609310153
15,Saldanha,-33.01,17.94,64.4,77,3,4.7,ZA,1609310154
16,Turukhansk,65.82,87.98,-15.7,80,100,10.36,RU,1609310155
17,Tuktoyaktuk,69.45,-133.04,-5.8,76,90,9.17,CA,1609310156
18,Ghanzi,-21.57,21.78,80.73,53,94,5.23,BW,1609310157
19,Burnie,-41.07,145.92,72.0,52,100,5.99,AU,1609309982
20,Nishihara,26.18,127.76,59.0,50,90,29.97,JP,1609310160
21,Port Hedland,-20.32,118.57,98.6,50,6,17.22,AU,1609310161
22,Ucluelet,48.93,-125.55,43.0,92,100,5.01,CA,1609310045
23,Dikson,73.51,80.55,-22.59,83,0,6.76,RU,1609310164
24,Mataura,-46.19,168.86,60.57,75,100,3.38,NZ,1609310165
25,Isangel,-19.55,169.27,79.56,83,100,14.72,VU,1609310166
26,Zhaotong,27.32,103.72,38.75,67,100,2.82,CN,1609310167
27,Tasiilaq,65.61,-37.64,15.8,85,100,5.97,GL,1609310169
28,Entre Rios,-11.94,-38.08,67.62,94,56,1.01,BR,1609310170
29,Puerto Ayora,-0.74,-90.35,72.0,94,40,3.0,EC,1609310171
30,Ambilobe,-13.2,49.05,90.1,59,42,2.21,MG,1609310172
31,Avarua,-21.21,-159.78,82.4,78,52,4.7,CK,1609310174
32,Butaritari,3.07,172.79,81.59,82,36,17.85,KI,1609310175
33,Buchanan,5.88,-10.05,75.2,100,20,3.51,LR,1609310176
34,Cidreira,-30.18,-50.21,72.72,93,0,6.15,BR,1609310177
35,Christchurch,-43.53,172.63,61.0,93,75,10.29,NZ,1609310118
36,Lázaro Cárdenas,17.96,-102.2,69.37,86,4,4.81,MX,1609310180
37,Punta Arenas,-53.15,-70.92,41.0,75,9,4.7,CL,1609310048
38,East London,-33.02,27.91,69.8,73,20,8.05,ZA,1609310182
39,Chicama,-7.84,-79.15,68.67,86,79,4.99,PE,1609310183
40,Ayan,56.45,138.17,-21.12,75,3,8.59,RU,1609310185
41,New Norfolk,-42.78,147.06,64.4,63,40,20.8,AU,1609310186
42,Ziyang,29.25,117.85,39.78,61,0,5.99,CN,1609310187
43,Kumylzhenskaya,49.88,42.59,21.0,93,100,7.0,RU,1609310188
44,Chu,43.6,73.76,22.55,94,0,3.36,KZ,1609310190
45,Hermanus,-34.42,19.23,69.01,69,0,5.99,ZA,1609310191
46,Bluff,-46.6,168.33,55.72,71,17,12.95,NZ,1609310192
47,Verkhnyaya Inta,65.98,60.31,-24.34,84,0,4.63,RU,1609310193
48,Busselton,-33.65,115.33,96.01,32,0,4.0,AU,1609310194
49,Parrita,9.52,-84.32,68.0,94,0,2.24,CR,1609310196
50,Gorzów Wielkopolski,52.74,15.23,32.0,78,32,7.63,PL,1609310197
51,Pontes e Lacerda,-15.23,-59.34,71.08,92,68,1.86,BR,1609310198
52,Alihe,50.57,123.72,-1.52,76,100,6.91,CN,1609310199
53,Melfi,41.0,15.65,44.01,86,100,1.99,IT,1609310201
54,Arraial do Cabo,-22.97,-42.03,74.77,87,100,19.82,BR,1609310072
55,Saint-Philippe,-21.36,55.77,84.2,62,0,25.28,RE,1609310204
56,Ponta do Sol,32.67,-17.1,57.2,67,40,9.17,PT,1609310205
57,Timrå,62.49,17.33,34.0,97,90,6.93,SE,1609310206
58,Aklavik,68.22,-135.01,-5.8,76,39,2.24,CA,1609310207
59,Ouro Preto do Oeste,-10.75,-62.22,71.98,98,100,4.38,BR,1609310208
60,Tiksi,71.69,128.87,-5.71,91,100,9.73,RU,1609310210
61,Omboué,-1.57,9.26,80.26,83,38,2.64,GA,1609310211
62,Yaan,7.38,8.57,76.44,51,49,2.91,NG,1609310212
63,Ilo,-17.64,-71.34,69.98,85,99,7.63,PE,1609310213
64,Santa María del Oro,25.93,-105.37,47.01,52,0,8.19,MX,1609310215
65,Saint Paul Harbor,57.79,-152.41,35.6,86,40,4.7,US,1609310216
66,Mezen',65.85,44.24,6.33,91,8,9.35,RU,1609310217
67,Castro,-24.79,-50.01,62.55,96,4,3.85,BR,1609310218
68,Mahajanga,-15.72,46.32,84.2,70,20,4.7,MG,1609310219
69,Caucayá,-0.19,-74.78,70.83,97,100,1.79,CO,1609310221
70,Vaini,-21.2,-175.2,77.0,88,75,4.7,TO,1609310222
71,Siraha,26.65,86.21,76.78,31,0,6.38,NP,1609310223
72,Mazagão,-0.12,-51.29,77.0,100,20,2.24,BR,1609310224
73,Port Hardy,50.7,-127.42,42.8,93,90,31.09,CA,1609310225
74,Los Llanos de Aridane,28.66,-17.92,62.6,82,75,5.82,ES,1609310191
75,Jamestown,42.1,-79.24,23.0,79,90,6.93,US,1609309592
76,Esperance,-33.87,121.9,82.4,30,89,14.99,AU,1609310229
77,Tabora,-5.02,32.8,68.0,94,40,2.8,TZ,1609310231
78,Dingle,11.0,122.67,83.55,80,100,9.66,PH,1609310232
79,Kapaa,22.08,-159.32,73.4,83,90,5.82,US,1609310233
80,Cochrane,51.18,-114.47,21.2,67,20,9.17,CA,1609310211
81,Lohja,60.25,24.07,34.0,100,100,8.01,FI,1609310235
82,Hualmay,-11.1,-77.61,68.72,90,100,8.19,PE,1609310237
83,Raudeberg,61.99,5.14,37.0,74,100,5.82,NO,1609310238
84,Omaruru,-21.43,15.93,73.47,63,93,3.56,NA,1609310239
85,Geraldton,-28.77,114.6,80.6,61,40,13.87,AU,1609310045
86,Carnarvon,-24.87,113.63,86.0,51,0,17.22,AU,1609310241
87,Batagay-Alyta,67.8,130.41,-14.33,83,98,5.37,RU,1609310243
88,Biltine,14.53,20.92,79.34,20,0,13.42,TD,1609310244
89,Mangla,31.89,72.38,65.3,24,0,3.6,PK,1609310245
90,Port Hawkesbury,45.62,-61.35,23.0,67,90,18.34,CA,1609310246
91,Alice Springs,-23.7,133.88,89.6,12,0,8.05,AU,1609310248
92,Beaverlodge,55.22,-119.44,12.2,85,40,7.83,CA,1609310249
93,Mareeba,-17.0,145.43,86.0,70,40,3.36,AU,1609310251
94,Kaitangata,-46.28,169.85,55.99,85,100,10.0,NZ,1609310252
